不了,41.0,78.0
不了多久,0.0,1.0
多久,2.0,5.0
多久就要,0.0,0.0
就要,31.0,28.0
就要更换,0.0,0.0
更换,21.0,28.0
更换了,1.0,0.0
，屏幕,69.0,32.0
屏幕,223.0,216.0
屏幕膜,0.0,1.0
膜稍,0.0,0.0
稍,25.0,28.0
稍好点,0.0,0.0
好点,4.0,13.0
好点，,1.0,0.0
，但,627.0,428.0
但,911.0,695.0
但比,4.0,0.0
比,452.0,264.0
比没有,1.0,1.0
没有,1137.0,2060.0
没有要强,0.0,0.0
要强,4.0,1.0
要强多,0.0,0.0
多了,79.0,30.0
。建议,27.0,41.0
建议,180.0,255.0
建议配赠,0.0,0.0
配赠,0.0,0.0
配赠几张,0.0,0.0
几张,8.0,6.0
几张膜,0.0,0.0
膜让,0.0,0.0
让,908.0,608.0
让用,0.0,0.0
用用户,0.0,0.0
用户,13.0,27.0
用户自己,2.0,2.0
自己,905.0,563.0
自己贴,1.0,0.0
贴。,1.0,1.0
。END,2210.0,1824.0
START交通,14.0,4.0
交通,194.0,57.0
交通方便,44.0,6.0
方便,536.0,232.0
方便；,11.0,6.0
；,463.0,491.0
；环境,2.0,0.0
环境,299.0,151.0
环境很,28.0,7.0
很好,743.0,169.0
好；,13.0,1.0
；服务态度,0.0,1.0
服务态度,86.0,110.0
服务态度很,12.0,8.0
好 ,53.0,10.0
 ,4419.0,5758.0
 房间,76.0,102.0
房间较,5.0,1.0
较小,12.0,13.0
小,472.0,396.0
小END,2.0,0.0
START不错,33.0,2.0
不错,2296.0,370.0
不错，,988.0,155.0
，作者,52.0,35.0
作者,362.0,198.0
作者的,78.0,46.0
的观点,24.0,11.0
观点,58.0,29.0
观点很,0.0,0.0
很颠覆,0.0,0.0
颠覆,2.0,0.0
颠覆目前,0.0,0.0
目前,67.0,33.0
目前中国,0.0,0.0
中国,163.0,76.0
中国父母,0.0,0.0
父母,109.0,22.0
父母的,24.0,4.0
的教育,33.0,8.0
教育,112.0,45.0
教育方式,5.0,0.0
方式,72.0,41.0
方式，,21.0,9.0
，其实,65.0,36.0
其实,205.0,106.0
其实古,0.0,0.0
古,3.0,2.0
古人们,0.0,0.0
人们,52.0,3.0
人们对于,1.0,0.0
对于,267.0,124.0
对于教育,0.0,0.0
教育已经,0.0,0.0
已经,332.0,279.0
已经有,15.0,8.0
有了,106.0,19.0
了很,15.0,14.0
很系统,2.0,0.0
系统,313.0,489.0
系统的,17.0,33.0
的体系,0.0,0.0
体系,7.0,2.0
体系了,0.0,0.0
可是现在,1.0,1.0
现在,386.0,262.0
现在的,41.0,21.0
的父母,12.0,2.0
父母以及,0.0,0.0
以及,72.0,34.0
以及祖父母,0.0,0.0
祖父母,0.0,0.0
祖父母们,0.0,0.0
们,128.0,82.0
们更,2.0,0.0
更,400.0,204.0
更多,82.0,24.0
多的,101.0,64.0
的娇惯,0.0,0.0
娇惯,0.0,0.0
娇惯纵容,0.0,0.0
纵容,0.0,0.0
纵容孩子,0.0,0.0
孩子,687.0,249.0
孩子，,41.0,5.0
，放眼看去,0.0,0.0
放眼看去,0.0,0.0
放眼看去自私,0.0,0.0
自私,8.0,5.0
自私的,2.0,1.0
的孩子,114.0,50.0
孩子是,6.0,0.0
是大多数,1.0,0.0
大多数,15.0,18.0
大多数，,0.0,0.0
，父母,5.0,3.0
父母觉得,0.0,0.0
觉得,579.0,377.0
觉得自己,13.0,8.0
自己的,252.0,116.0
孩子在,10.0,2.0
在外面,6.0,8.0
外面,49.0,73.0
外面只要,0.0,0.0
只要,104.0,51.0
只要不,7.0,0.0
不,1275.0,2373.0
不吃亏,0.0,0.0
吃亏,3.0,2.0
吃亏就是,0.0,0.0
就是,874.0,791.0
就是好事,0.0,0.0
好事,2.0,4.0
好事，,1.0,0.0
，完全,19.0,22.0
完全,91.0,147.0
完全把,0.0,2.0
把,371.0,395.0
把古人,0.0,0.0
古人,4.0,3.0
古人几千年,0.0,0.0
几千年,1.0,1.0
几千年总结,0.0,0.0
总结,27.0,22.0
总结的,2.0,0.0
教育古训,0.0,0.0
古训,0.0,0.0
古训抛,0.0,0.0
抛,0.0,0.0
抛在,0.0,0.0
在的,2.0,3.0
的九霄云外,0.0,0.0
九霄云外,0.0,0.0
九霄云外。,0.0,0.0
。所以,72.0,21.0
所以,413.0,273.0
所以推荐,0.0,1.0
推荐,297.0,184.0
推荐准妈妈,0.0,0.0
准妈妈,3.0,0.0
准妈妈们,0.0,0.0
们可以,2.0,0.0
可以,1317.0,745.0
可以在,10.0,8.0
在等待,1.0,3.0
等待,17.0,31.0
等待宝宝,0.0,0.0
宝宝,177.0,45.0
宝宝降临,0.0,0.0
降临,0.0,0.0
降临的,0.0,0.0
的时候,432.0,383.0
时候,499.0,459.0
时候，,128.0,101.0
，好好学习,0.0,0.0
好好学习,5.0,0.0
好好学习一下,1.0,0.0
一下,235.0,253.0
一下，,68.0,72.0
，怎么,22.0,42.0
怎么把,1.0,0.0
把孩子,4.0,2.0
孩子教育,2.0,2.0
教育成,0.0,0.0
成,33.0,47.0
成一个,0.0,1.0
一个,953.0,895.0
一个有,3.0,7.0
有爱心,1.0,2.0
爱心,7.0,2.0
爱心、,0.0,2.0
、,1427.0,1024.0
、有,12.0,5.0
有责任心,0.0,0.0
责任心,1.0,2.0
责任心、,0.0,0.0
、宽容,2.0,0.0
宽容,12.0,1.0
宽容、,2.0,0.0
、大度,0.0,0.0
大度,2.0,2.0
大度的,2.0,1.0
的人,303.0,171.0
人,1154.0,812.0
人。,40.0,18.0
START有,8.0,7.0
了第一,1.0,1.0
第一,36.0,36.0
第一本书,5.0,0.0
本书,1178.0,679.0
本书的,139.0,82.0
的铺垫,2.0,0.0
铺垫,3.0,1.0
铺垫，,1.0,0.0
，读,30.0,12.0
读,264.0,91.0
读第二本,0.0,0.0
第二本,7.0,2.0
第二本的,1.0,2.0
时候开始,1.0,2.0
开始进入状态,0.0,0.0
进入状态,0.0,0.0
进入状态。,0.0,0.0
。基本上,5.0,1.0
基本上,48.0,29.0
基本上第二本,0.0,0.0
第二本就,0.0,0.0
就围绕,0.0,0.0
围绕,5.0,4.0
围绕主角,0.0,0.0
主角,20.0,11.0
主角们,0.0,0.0
们的,19.0,12.0
的能力,13.0,7.0
能力,80.0,29.0
能力训练,0.0,0.0
训练,7.0,0.0
训练展开,0.0,0.0
展开,8.0,2.0
展开，,0.0,1.0
，故事,22.0,22.0
故事,334.0,133.0
故事的,28.0,11.0
的主要,8.0,6.0
主要,94.0,51.0
主要发生,0.0,0.0
发生,56.0,36.0
发生场地,0.0,0.0
场地,0.0,1.0
场地设置,0.0,0.0
设置,32.0,56.0
设置在,0.0,1.0
在美洲,0.0,0.0
美洲,1.0,0.0
美洲的,0.0,0.0
的亚马逊,0.0,0.0
亚马逊,1.0,0.0
亚马逊丛林,0.0,0.0
丛林,0.0,0.0
丛林。,0.0,0.0
。心里,6.0,0.0
心里,76.0,27.0
心里一直,1.0,0.0
一直,243.0,168.0
一直疑惑,0.0,0.0
疑惑,4.0,1.0
疑惑这,0.0,0.0
这,1588.0,1028.0
这和,4.0,1.0
和西藏,0.0,0.0
西藏,3.0,1.0
西藏有,0.0,0.0
有什么,27.0,29.0
什么关系,2.0,0.0
关系,37.0,35.0
关系，,8.0,19.0
，不过,244.0,162.0
不过,519.0,341.0
不过大概,0.0,0.0
大概,58.0,54.0
大概看,2.0,0.0
看完全,1.0,2.0
完全书,0.0,2.0
书,766.0,646.0
书才能,0.0,0.0
才能,70.0,79.0
才能知道,1.0,1.0
知道,369.0,590.0
知道内里,0.0,0.0
内里,4.0,1.0
内里的,0.0,0.0
的线索,0.0,0.0
线索,1.0,0.0
线索。,0.0,0.0
。其中,6.0,1.0
其中,100.0,55.0
其中描述,0.0,0.0
描述,32.0,24.0
描述了,2.0,0.0
了很多,86.0,36.0
很多,553.0,348.0
很多热带雨林,0.0,0.0
热带雨林,0.0,0.0
热带雨林中,0.0,0.0
中,559.0,264.0
中特有,0.0,0.0
特有,7.0,0.0
特有的,6.0,0.0
的神秘,4.0,0.0
神秘,17.0,2.0
神秘动植物,0.0,0.0
动植物,0.0,0.0
动植物以及,0.0,0.0
以及一些,1.0,0.0
一些,322.0,188.0
一些生存,0.0,2.0
生存,9.0,6.0
生存技巧,0.0,0.0
技巧,18.0,9.0
技巧和,1.0,0.0
和常识,1.0,0.0
常识,14.0,5.0
常识，,1.0,1.0
，受益匪浅,8.0,1.0
受益匪浅,37.0,3.0
受益匪浅。,13.0,2.0
。能够,2.0,1.0
能够,105.0,60.0
能够想像出,0.0,0.0
想像出,0.0,0.0
想像出要,0.0,0.0
要写,2.0,3.0
写,196.0,191.0
写这样,0.0,0.0
这样,366.0,433.0
这样一部,1.0,0.0
一部,47.0,8.0
一部书,1.0,0.0
书，,199.0,110.0
，融合,1.0,0.0
融合,5.0,0.0
融合这样,0.0,0.0
这样许多,0.0,0.0
许多,109.0,27.0
许多的,6.0,4.0
的知识,27.0,5.0
知识,91.0,18.0
知识，,28.0,5.0
作者需要,0.0,0.0
需要,243.0,206.0
需要花费,1.0,0.0
花费,2.0,6.0
花费多少,0.0,0.0
多少,49.0,35.0
多少心血,0.0,0.0
心血,3.0,0.0
心血来,0.0,0.0
来,326.0,304.0
来搜集,0.0,0.0
搜集,2.0,3.0
搜集和,1.0,0.0
和整理,1.0,0.0
整理,10.0,16.0
整理并,0.0,0.0
并,233.0,194.0
并成文,0.0,0.0
成文,0.0,0.0
成文。,0.0,0.0
START前台,16.0,14.0
前台,234.0,554.0
前台接待,13.0,11.0
接待,36.0,46.0
接待太差,0.0,0.0
太差,30.0,169.0
太差，,17.0,49.0
，酒店,133.0,148.0
酒店,1827.0,2487.0
酒店有,21.0,16.0
有A,0.0,0.0
A,16.0,21.0
A ,1.0,2.0
 B,2.0,1.0
B,17.0,10.0
B楼,0.0,0.0
楼,117.0,97.0
楼之分,0.0,0.0
之分,1.0,2.0
之分，,1.0,1.0
，本人,25.0,17.0
本人,95.0,104.0
本人check,0.0,0.0
check,12.0,44.0
check－,0.0,0.0
－,24.0,52.0
－in,0.0,0.0
in,18.0,39.0
in后,0.0,1.0
，前台,41.0,123.0
前台未,0.0,0.0
未,43.0,39.0
未告诉,0.0,0.0
告诉,108.0,128.0
告诉B,0.0,0.0
楼在,2.0,1.0
在何处,0.0,1.0
何处,4.0,1.0
何处，,0.0,0.0
，并且,54.0,40.0
并且,77.0,59.0
并且B,0.0,0.0
楼无,0.0,0.0
无,40.0,99.0
无明显,0.0,0.0
明显,65.0,95.0
明显指示,0.0,0.0
指示,3.0,5.0
指示；,0.0,0.0
；房间,6.0,7.0
房间太小,9.0,21.0
太小,65.0,97.0
太小，,21.0,46.0
，根本,11.0,58.0
根本,43.0,223.0
根本不像,1.0,1.0
不像,34.0,48.0
不像4,0.0,0.0
4,255.0,378.0
4星级,10.0,11.0
星级,41.0,93.0
星级设施,0.0,0.0
设施,306.0,329.0
设施，,4.0,13.0
，下次,78.0,34.0
下次,223.0,147.0
下次不会,5.0,31.0
不会,184.0,306.0
不会再,9.0,60.0
再,285.0,396.0
再选择,2.0,11.0
选择,271.0,157.0
选择入住,13.0,7.0
入住,462.0,729.0
入住此店,0.0,0.0
此店,0.0,2.0
此店啦,0.0,0.0
啦,88.0,67.0
啦。,10.0,6.0
START1,103.0,178.0
1,536.0,554.0
1.,74.0,104.0
.,1675.0,2006.0
. ,252.0,360.0
 白色,2.0,2.0
白色,49.0,33.0
白色的,15.0,16.0
，很漂亮,17.0,1.0
很漂亮,125.0,8.0
很漂亮，,83.0,6.0
，做工,85.0,9.0
做工,220.0,47.0
做工还,10.0,0.0
还可以,307.0,149.0
可以；,5.0,0.0
； ,117.0,160.0
 2,144.0,258.0
2,364.0,683.0
2.,69.0,99.0
 网上,3.0,1.0
网上,121.0,184.0
网上的,19.0,20.0
的软件资源,0.0,0.0
软件资源,0.0,0.0
软件资源非常丰富,0.0,0.0
非常丰富,4.0,0.0
非常丰富，,0.0,0.0
，这是,68.0,39.0
这是,246.0,179.0
这是我,39.0,32.0
我,3713.0,3919.0
我买,43.0,55.0
买,787.0,754.0
买它,3.0,7.0
它,269.0,183.0
它的,58.0,44.0
的最,14.0,19.0
最,312.0,209.0
最主要,11.0,7.0
主要原因,2.0,3.0
原因,84.0,113.0
原因；,0.0,1.0
 3,119.0,204.0
3,342.0,521.0
3.,55.0,66.0
 电池,12.0,6.0
电池,189.0,142.0
电池不错,6.0,0.0
，昨天,6.0,7.0
昨天,26.0,24.0
昨天从,0.0,0.0
从,407.0,267.0
从下午,0.0,0.0
下午,64.0,69.0
下午两点,0.0,0.0
两点,3.0,11.0
两点到,0.0,2.0
到,870.0,842.0
到晚上,5.0,10.0
晚上,223.0,319.0
晚上十点,1.0,0.0
十点,2.0,0.0
十点还有,0.0,0.0
还有,386.0,377.0
还有25,0.0,0.0
25,28.0,36.0
25分钟,2.0,3.0
分钟,102.0,127.0
分钟的,8.0,2.0
的剩余时间,0.0,0.0
剩余时间,0.0,1.0
剩余时间（,0.0,0.0
（,400.0,445.0
（关闭,0.0,0.0
关闭,8.0,16.0
关闭摄像头,1.0,0.0
摄像头,87.0,65.0
摄像头，,23.0,10.0
，无线,12.0,6.0
无线,57.0,59.0
无线和,0.0,1.0
和蓝牙,1.0,0.0
蓝牙,49.0,47.0
蓝牙）,0.0,0.0
）,434.0,478.0
）主要,0.0,0.0
主要拷贝,0.0,0.0
拷贝,1.0,3.0
拷贝东西,0.0,0.0
东西,337.0,315.0
东西，,54.0,75.0
，看起来,10.0,21.0
看起来,50.0,56.0
看起来正常,0.0,0.0
正常,56.0,77.0
正常使用,6.0,5.0
使用,169.0,157.0
使用八小时,0.0,0.0
八小时,2.0,0.0
八小时左右,0.0,0.0
左右,92.0,76.0
左右没,0.0,0.0
没,382.0,687.0
没问题,41.0,19.0
问题,450.0,485.0
问题；,2.0,1.0
 4,69.0,115.0
4.,29.0,44.0
 散热,23.0,11.0
散热,253.0,152.0
散热不错,22.0,1.0
，CPU,10.0,7.0
CPU,45.0,37.0
CPU核心,0.0,0.0
核心,1.0,0.0
核心不过,0.0,0.0
不过40,0.0,0.0
40,18.0,39.0
40~,0.0,0.0
~,566.0,483.0
~55,0.0,0.0
55,0.0,0.0
55度,0.0,0.0
度,18.0,47.0
度，,2.0,11.0
，很多,52.0,32.0
很多小本,0.0,0.0
小本,9.0,5.0
小本要,0.0,0.0
要上,0.0,0.0
上,641.0,546.0
上到,2.0,3.0
到80,0.0,0.0
80,18.0,23.0
80度,0.0,0.0
度了,0.0,0.0
了；,15.0,28.0
 5,31.0,61.0
5,246.0,295.0
5.,8.0,17.0
 变压器,0.0,0.0
变压器,1.0,4.0
变压器很,0.0,0.0
很小巧,7.0,0.0
小巧,68.0,4.0
小巧，,30.0,1.0
小本的,0.0,0.0
的电源,3.0,4.0
电源,18.0,60.0
电源都,0.0,0.0
都用,6.0,5.0
用的,65.0,54.0
是大本,0.0,0.0
大本,1.0,1.0
大本的,0.0,0.0
电源，,0.0,6.0
，本倒,0.0,0.0
本倒,0.0,0.0
本倒是,0.0,0.0
是很,109.0,53.0
很轻,15.0,7.0
轻,48.0,15.0
轻，,22.0,7.0
，可,49.0,52.0
可,156.0,169.0
可旅行,0.0,0.0
旅行,15.0,7.0
旅行重量,1.0,0.0
重量,42.0,25.0
重量还是,1.0,2.0
还是,1034.0,778.0
还是比较,58.0,15.0
比较重,3.0,7.0
重,14.0,50.0
重。,1.0,6.0
START在,77.0,35.0
在当当,28.0,37.0
当当,84.0,174.0
当当上,15.0,15.0
上买,11.0,6.0
买了,249.0,251.0
很多书,3.0,4.0
，都,163.0,93.0
都懒于,0.0,0.0
懒于,0.0,0.0
懒于评论,0.0,0.0
评论,85.0,157.0
评论。,6.0,8.0
。但,88.0,61.0
但这,8.0,13.0
这套书,150.0,59.0
套书,156.0,63.0
套书真的,8.0,0.0
真的,330.0,196.0
真的很,79.0,39.0
好，,683.0,252.0
，3,14.0,14.0
3册,0.0,0.0
册,6.0,2.0
册都,1.0,0.0
都非常,23.0,3.0
非常,834.0,540.0
非常精彩,2.0,0.0
精彩,36.0,16.0
精彩。,3.0,2.0
。我家,7.0,1.0
我家,30.0,23.0
我家小一,0.0,0.0
小一,1.0,0.0
小一的,0.0,0.0
的女儿,30.0,13.0
女儿,175.0,45.0
女儿，,6.0,0.0
，认字,0.0,0.0
认字,1.0,2.0
认字多,0.0,0.0
，非常,88.0,62.0
非常喜爱,0.0,0.0
喜爱,16.0,5.0
喜爱，,2.0,0.0
，每天,27.0,6.0
每天,99.0,29.0
每天睡前,1.0,0.0
睡前,7.0,4.0
睡前必读,0.0,0.0
必读,4.0,1.0
必读。,0.0,0.0
。她,22.0,14.0
她,622.0,294.0
她还,10.0,3.0
还告诉,1.0,1.0
告诉我,42.0,59.0
我，,42.0,69.0
，学校,1.0,0.0
学校,35.0,1.0
学校的,5.0,0.0
的语文课,0.0,0.0
语文课,0.0,0.0
语文课本中,0.0,0.0
本中,1.0,1.0
本中也,0.0,0.0
也有,69.0,57.0
有相同,0.0,0.0
相同,4.0,16.0
相同的,1.0,7.0
的文章,16.0,9.0
文章,45.0,42.0
文章。,6.0,2.0
。我,281.0,223.0
我还,50.0,40.0
还借给,1.0,0.0
借给,10.0,1.0
借给我,4.0,0.0
我的,326.0,307.0
的同事,7.0,10.0
同事,87.0,72.0
同事的,6.0,13.0
，我,766.0,823.0
我同事,7.0,15.0
同事一直,0.0,0.0
一直头疼,0.0,0.0
头疼,6.0,9.0
头疼她,0.0,0.0
她女儿,5.0,0.0
女儿不爱,0.0,0.0
不爱,10.0,2.0
不爱看书,0.0,0.0
看书,41.0,24.0
看书，,9.0,1.0
套书，,29.0,2.0
，她,110.0,47.0
女儿非常,2.0,1.0
非常喜欢,56.0,13.0
喜欢,823.0,369.0
喜欢。,93.0,34.0
。两周,0.0,2.0
两周,2.0,6.0
两周就,0.0,0.0
就看,12.0,14.0
看完,166.0,74.0
完,227.0,133.0
完了,64.0,48.0
建议买,5.0,5.0
买。,11.0,14.0
。很少,2.0,0.0
很少,47.0,28.0
很少写,0.0,0.0
写评论,3.0,10.0
评论，,20.0,17.0
但忍不住,0.0,0.0
忍不住,16.0,12.0
忍不住为,0.0,1.0
为,293.0,179.0
为这,0.0,0.0
套书写下,0.0,0.0
写下,5.0,0.0
写下。,0.0,0.0
。也,27.0,22.0
也给,8.0,3.0
给,803.0,846.0
给别的,0.0,1.0
别的,38.0,72.0
别的读者,0.0,0.0
读者,85.0,49.0
读者参考,0.0,0.0
参考,24.0,12.0
参考下,1.0,0.0
下,217.0,247.0
下。,3.0,1.0
START19,0.0,0.0
19,14.0,18.0
19天,0.0,1.0
天,70.0,149.0
天硬盘,0.0,0.0
硬盘就,0.0,4.0
就罢工,0.0,0.0
罢工,2.0,1.0
罢工了,0.0,0.0
了~,16.0,33.0
~~,224.0,244.0
~算上,0.0,0.0
算上,0.0,0.0
算上运来,0.0,0.0
运来,0.0,0.0
运来的,0.0,0.0
的一周,0.0,0.0
一周,13.0,16.0
一周都,0.0,0.0
都没用,1.0,2.0
没用,10.0,27.0
没用上,0.0,1.0
上15,0.0,1.0
15,47.0,81.0
15天,1.0,3.0
天~,1.0,0.0
~可,0.0,0.0
可就是,1.0,2.0
就是不能,1.0,3.0
不能,182.0,487.0
不能换,1.0,5.0
换,84.0,205.0
换了,40.0,77.0
~唉,0.0,4.0
唉,15.0,46.0
唉~,0.0,2.0
~你,2.0,0.0
你,581.0,406.0
你说,2.0,11.0
说,755.0,1282.0
说这算,0.0,0.0
这算,1.0,1.0
这算什么,1.0,1.0
什么事,0.0,4.0
事,77.0,54.0
事呀,1.0,0.0
呀,48.0,57.0
呀~,1.0,0.0
~END,79.0,70.0
START书一到,0.0,3.0
书一到,1.0,3.0
书一到，,1.0,1.0
，即,7.0,6.0
即,16.0,15.0
即被,1.0,1.0
被,281.0,304.0
被朋友,0.0,1.0
朋友,353.0,240.0
朋友借走,0.0,1.0
借走,1.0,1.0
借走，,0.0,1.0
我是,167.0,171.0
是早已,2.0,3.0
早已,5.0,6.0
早已看过,0.0,1.0
看过,125.0,74.0
看过了,11.0,9.0
了的,15.0,16.0
，买,33.0,43.0
它，,16.0,6.0
，是因为,15.0,7.0
是因为,62.0,53.0
是因为张爱玲,0.0,1.0
张爱玲,16.0,46.0
张爱玲。,0.0,1.0
。看过,8.0,4.0
看过张子静,0.0,1.0
张子静,0.0,3.0
张子静的,0.0,1.0
的《,49.0,21.0
《,432.0,132.0
《我,12.0,1.0
的姊姊,0.0,1.0
姊姊,0.0,1.0
姊姊张爱玲,0.0,1.0
张爱玲》,0.0,1.0
》,431.0,139.0
》，,86.0,44.0
，可以,150.0,55.0
可以看出,6.0,1.0
看出,11.0,8.0
看出，,1.0,1.0
，张对,0.0,1.0
张对,0.0,1.0
张对自己,0.0,1.0
的弟弟,0.0,1.0
弟弟,2.0,3.0
弟弟也,0.0,1.0
也是,264.0,169.0
是不,32.0,46.0
不甚,2.0,3.0
甚,12.0,3.0
甚热情,0.0,1.0
热情,119.0,36.0
热情，,53.0,9.0
这是她,0.0,2.0
她的,120.0,57.0
的性格,22.0,9.0
性格,28.0,15.0
性格。,2.0,1.0
。但是,103.0,51.0
但是,701.0,501.0
但是有,5.0,5.0
有一次,7.0,4.0
一次,111.0,131.0
一次张子静,0.0,1.0
张子静去,0.0,1.0
去,835.0,727.0
去找,8.0,22.0
找,142.0,287.0
找她,1.0,1.0
她，,26.0,6.0
，那天,5.0,9.0
那天,33.0,21.0
那天张爱玲,0.0,1.0
张爱玲却是,0.0,1.0
却是,36.0,25.0
却是很,0.0,1.0
很开心,21.0,10.0
开心,62.0,23.0
开心的,10.0,2.0
的样子,26.0,28.0
样子,90.0,51.0
样子。,8.0,3.0
。后来,21.0,24.0
后来张子静,0.0,1.0
张子静推算,0.0,1.0
推算,2.0,1.0
推算，,0.0,1.0
，彼时,0.0,1.0
彼时,0.0,1.0
彼时张爱玲,0.0,1.0
张爱玲正,0.0,1.0
正,29.0,9.0
正与,1.0,1.0
与,384.0,233.0
与胡兰成,0.0,1.0
胡兰成,1.0,26.0
胡兰成相恋,0.0,1.0
相恋,0.0,1.0
